"","state","county","latitude","longitude"
"382","WI","Calumet",44.1029932222222,-88.1810955555556
"383","MD","Calvert",38.5073944285714,-76.5278890714286
"384","ID","Camas",43.4080913333333,-114.739704333333
"385","PA","Cambria",40.4915412884615,-78.7188188076923
"386","GA","Camden",30.9061348333333,-81.6776751666667
"387","MO","Camden",38.0603611,-92.7458195
"388","NC","Camden",36.3616943333333,-76.167416
"389","NJ","Camden",39.8394661081081,-75.0102878918919
"390","LA","Cameron",29.815113,-93.1959625
"391","PA","Cameron",41.4484806666667,-78.213808
"392","TX","Cameron",26.1328235714286,-97.5905194761905
"393","TX","Camp",32.993919,-94.94415
"394","KY","Campbell",39.0109133636364,-84.4016521818182
"395","SD","Campbell",45.797875,-100.117048333333
"396","TN","Campbell",36.423617,-84.1480294285714
"397","VA","Campbell",37.2076558181818,-79.1414567272727
"398","WY","Campbell",44.3437361428571,-105.524660285714
"399","PR","Camuy",18.477891,-66.85477
"400","OK","Canadian",35.528872,-97.9029446666667
"401","GA","Candler",32.4068645,-82.0674295
"402","TN","Cannon",35.81888125,-86.100496
"403","PR","Canovanas",18.333093,-65.883864
"404","ID","Canyon",43.6288476,-116.7172884
"405","MO","Cape Girardeau",37.389429,-89.70188375
"406","NJ","Cape May",39.0996851904762,-74.7899057142857
"407","MT","Carbon",45.3251308,-109.0387366
"408","PA","Carbon",40.8961051875,-75.729635125
"409","UT","Carbon",39.6022354285714,-110.605601428571
"410","WY","Carbon",41.4958376666667,-106.964763666667
"411","ID","Caribou",42.7447618,-111.5587412
"412","KY","Carlisle",36.84763675,-89.002029
"413","MN","Carlton",46.5978103636364,-92.6595420909091
"414","PR","Carolina",18.385454,-65.9656593333333
"415","MD","Caroline",38.902742,-75.8571722631579
"416","VA","Caroline",38.0644713,-77.3337092
"417","AR","Carroll",36.3931088333333,-93.6220788333333
"418","GA","Carroll",33.6110513636364,-85.074328
"419","IA","Carroll",42.0460904166667,-94.83879175
"420","IL","Carroll",42.0539508571429,-89.87305
"421","IN","Carroll",40.5648436666667,-86.5430726666667
"422","KY","Carroll",38.66926425,-85.04988175
"423","MD","Carroll",39.5373912666667,-77.0278662666667
"424","MO","Carroll",39.4217987777778,-93.3902992222222
"425","MS","Carroll",33.4851584285714,-89.9108918571429
"426","NH","Carroll",43.7725858709677,-71.1917964193548
